project_name,num_features,reduction_percentage,feature_names
GaussianNB_12_features_reduced_by_0_percent0,12,0,"Smoking, KidneyDisease, Asthma, BMI, SkinCancer, SleepTime, PhysicalActivity, PhysicalHealth, Race, Diabetic, DiffWalking, AgeCategory"
GaussianNB_12_features_reduced_by_20_percent0,12,20,"Smoking, KidneyDisease, Asthma, BMI, SkinCancer, SleepTime, PhysicalActivity, PhysicalHealth, Race, Diabetic, DiffWalking, AgeCategory"
GaussianNB_12_features_reduced_by_40_percent0,12,40,"Smoking, KidneyDisease, Asthma, BMI, SkinCancer, SleepTime, PhysicalActivity, PhysicalHealth, Race, Diabetic, DiffWalking, AgeCategory"
GaussianNB_12_features_reduced_by_60_percent0,12,60,"Smoking, KidneyDisease, Asthma, BMI, SkinCancer, SleepTime, PhysicalActivity, PhysicalHealth, Race, Diabetic, DiffWalking, AgeCategory"
GaussianNB_12_features_reduced_by_80_percent0,12,80,"Smoking, KidneyDisease, Asthma, BMI, SkinCancer, SleepTime, PhysicalActivity, PhysicalHealth, Race, Diabetic, DiffWalking, AgeCategory"
GaussianNB_11_features_reduced_by_0_percent0,11,0,"Sex, Race, BMI, PhysicalActivity, MentalHealth, AgeCategory, AlcoholDrinking, SkinCancer, Stroke, Asthma, DiffWalking"
GaussianNB_11_features_reduced_by_20_percent0,11,20,"Sex, Race, BMI, PhysicalActivity, MentalHealth, AgeCategory, AlcoholDrinking, SkinCancer, Stroke, Asthma, DiffWalking"
GaussianNB_11_features_reduced_by_40_percent0,11,40,"Sex, Race, BMI, PhysicalActivity, MentalHealth, AgeCategory, AlcoholDrinking, SkinCancer, Stroke, Asthma, DiffWalking"
GaussianNB_11_features_reduced_by_60_percent0,11,60,"Sex, Race, BMI, PhysicalActivity, MentalHealth, AgeCategory, AlcoholDrinking, SkinCancer, Stroke, Asthma, DiffWalking"
GaussianNB_11_features_reduced_by_80_percent0,11,80,"Sex, Race, BMI, PhysicalActivity, MentalHealth, AgeCategory, AlcoholDrinking, SkinCancer, Stroke, Asthma, DiffWalking"
GaussianNB_10_features_reduced_by_0_percent0,10,0,"Sex, Asthma, SleepTime, Diabetic, SkinCancer, Race, MentalHealth, GenHealth, BMI, Smoking"
GaussianNB_10_features_reduced_by_20_percent0,10,20,"Sex, Asthma, SleepTime, Diabetic, SkinCancer, Race, MentalHealth, GenHealth, BMI, Smoking"
GaussianNB_10_features_reduced_by_40_percent0,10,40,"Sex, Asthma, SleepTime, Diabetic, SkinCancer, Race, MentalHealth, GenHealth, BMI, Smoking"
GaussianNB_10_features_reduced_by_60_percent0,10,60,"Sex, Asthma, SleepTime, Diabetic, SkinCancer, Race, MentalHealth, GenHealth, BMI, Smoking"
GaussianNB_10_features_reduced_by_80_percent0,10,80,"Sex, Asthma, SleepTime, Diabetic, SkinCancer, Race, MentalHealth, GenHealth, BMI, Smoking"
GaussianNB_9_features_reduced_by_0_percent0,9,0,"Diabetic, PhysicalHealth, AlcoholDrinking, MentalHealth, KidneyDisease, Smoking, Stroke, GenHealth, SleepTime"
GaussianNB_9_features_reduced_by_20_percent0,9,20,"Diabetic, PhysicalHealth, AlcoholDrinking, MentalHealth, KidneyDisease, Smoking, Stroke, GenHealth, SleepTime"
GaussianNB_9_features_reduced_by_40_percent0,9,40,"Diabetic, PhysicalHealth, AlcoholDrinking, MentalHealth, KidneyDisease, Smoking, Stroke, GenHealth, SleepTime"
GaussianNB_9_features_reduced_by_60_percent0,9,60,"Diabetic, PhysicalHealth, AlcoholDrinking, MentalHealth, KidneyDisease, Smoking, Stroke, GenHealth, SleepTime"
GaussianNB_9_features_reduced_by_80_percent0,9,80,"Diabetic, PhysicalHealth, AlcoholDrinking, MentalHealth, KidneyDisease, Smoking, Stroke, GenHealth, SleepTime"
GaussianNB_8_features_reduced_by_0_percent0,8,0,"Diabetic, SkinCancer, PhysicalActivity, Sex, PhysicalHealth, Asthma, KidneyDisease, GenHealth"
GaussianNB_8_features_reduced_by_20_percent0,8,20,"Diabetic, SkinCancer, PhysicalActivity, Sex, PhysicalHealth, Asthma, KidneyDisease, GenHealth"
GaussianNB_8_features_reduced_by_40_percent0,8,40,"Diabetic, SkinCancer, PhysicalActivity, Sex, PhysicalHealth, Asthma, KidneyDisease, GenHealth"
GaussianNB_8_features_reduced_by_60_percent0,8,60,"Diabetic, SkinCancer, PhysicalActivity, Sex, PhysicalHealth, Asthma, KidneyDisease, GenHealth"
GaussianNB_8_features_reduced_by_80_percent0,8,80,"Diabetic, SkinCancer, PhysicalActivity, Sex, PhysicalHealth, Asthma, KidneyDisease, GenHealth"
GaussianNB_7_features_reduced_by_0_percent0,7,0,"PhysicalHealth, AlcoholDrinking, GenHealth, Race, Stroke, Asthma, BMI"
GaussianNB_7_features_reduced_by_20_percent0,7,20,"PhysicalHealth, AlcoholDrinking, GenHealth, Race, Stroke, Asthma, BMI"
GaussianNB_7_features_reduced_by_40_percent0,7,40,"PhysicalHealth, AlcoholDrinking, GenHealth, Race, Stroke, Asthma, BMI"
GaussianNB_7_features_reduced_by_60_percent0,7,60,"PhysicalHealth, AlcoholDrinking, GenHealth, Race, Stroke, Asthma, BMI"
GaussianNB_7_features_reduced_by_80_percent0,7,80,"PhysicalHealth, AlcoholDrinking, GenHealth, Race, Stroke, Asthma, BMI"
GaussianNB_6_features_reduced_by_0_percent0,6,0,"DiffWalking, AgeCategory, Sex, Smoking, SleepTime, SkinCancer"
GaussianNB_6_features_reduced_by_20_percent0,6,20,"DiffWalking, AgeCategory, Sex, Smoking, SleepTime, SkinCancer"
GaussianNB_6_features_reduced_by_40_percent0,6,40,"DiffWalking, AgeCategory, Sex, Smoking, SleepTime, SkinCancer"
GaussianNB_6_features_reduced_by_60_percent0,6,60,"DiffWalking, AgeCategory, Sex, Smoking, SleepTime, SkinCancer"
GaussianNB_6_features_reduced_by_80_percent0,6,80,"DiffWalking, AgeCategory, Sex, Smoking, SleepTime, SkinCancer"
GaussianNB_5_features_reduced_by_0_percent0,5,0,"BMI, Stroke, Smoking, MentalHealth, PhysicalActivity"
GaussianNB_5_features_reduced_by_20_percent0,5,20,"BMI, Stroke, Smoking, MentalHealth, PhysicalActivity"
GaussianNB_5_features_reduced_by_40_percent0,5,40,"BMI, Stroke, Smoking, MentalHealth, PhysicalActivity"
GaussianNB_5_features_reduced_by_60_percent0,5,60,"BMI, Stroke, Smoking, MentalHealth, PhysicalActivity"
GaussianNB_5_features_reduced_by_80_percent0,5,80,"BMI, Stroke, Smoking, MentalHealth, PhysicalActivity"
GaussianNB_4_features_reduced_by_0_percent0,4,0,"SkinCancer, MentalHealth, Asthma, AgeCategory"
GaussianNB_4_features_reduced_by_20_percent0,4,20,"SkinCancer, MentalHealth, Asthma, AgeCategory"
GaussianNB_4_features_reduced_by_40_percent0,4,40,"SkinCancer, MentalHealth, Asthma, AgeCategory"
GaussianNB_4_features_reduced_by_60_percent0,4,60,"SkinCancer, MentalHealth, Asthma, AgeCategory"
GaussianNB_4_features_reduced_by_80_percent0,4,80,"SkinCancer, MentalHealth, Asthma, AgeCategory"
GaussianNB_3_features_reduced_by_0_percent0,3,0,"MentalHealth, SleepTime, AlcoholDrinking"
GaussianNB_3_features_reduced_by_20_percent0,3,20,"MentalHealth, SleepTime, AlcoholDrinking"
GaussianNB_3_features_reduced_by_40_percent0,3,40,"MentalHealth, SleepTime, AlcoholDrinking"
GaussianNB_3_features_reduced_by_60_percent0,3,60,"MentalHealth, SleepTime, AlcoholDrinking"
GaussianNB_3_features_reduced_by_80_percent0,3,80,"MentalHealth, SleepTime, AlcoholDrinking"
GaussianNB_2_features_reduced_by_0_percent0,2,0,"Race, SleepTime"
GaussianNB_2_features_reduced_by_20_percent0,2,20,"Race, SleepTime"
GaussianNB_2_features_reduced_by_40_percent0,2,40,"Race, SleepTime"
GaussianNB_2_features_reduced_by_60_percent0,2,60,"Race, SleepTime"
GaussianNB_2_features_reduced_by_80_percent0,2,80,"Race, SleepTime"
GaussianNB_1_features_reduced_by_0_percent0,1,0,Race
GaussianNB_1_features_reduced_by_20_percent0,1,20,Race
GaussianNB_1_features_reduced_by_40_percent0,1,40,Race
GaussianNB_1_features_reduced_by_60_percent0,1,60,Race
GaussianNB_1_features_reduced_by_80_percent0,1,80,Race
GaussianNB_17_features_reduced_by_0_percent1,17,0,"KidneyDisease, Smoking, Asthma, Diabetic, GenHealth, BMI, Sex, DiffWalking, PhysicalHealth, PhysicalActivity, AlcoholDrinking, Race, SleepTime, Stroke, AgeCategory, SkinCancer, MentalHealth"
GaussianNB_17_features_reduced_by_20_percent1,17,20,"KidneyDisease, Smoking, Asthma, Diabetic, GenHealth, BMI, Sex, DiffWalking, PhysicalHealth, PhysicalActivity, AlcoholDrinking, Race, SleepTime, Stroke, AgeCategory, SkinCancer, MentalHealth"
