project_name,num_features,reduction_percentage,feature_names
XGBoost_14_features_reduced_by_80_percent0,14,80,"contact, poutcome, housing, marital, cons.conf.idx, cons.price.idx, age, y, previous, day_of_week, nr.employed, default, pdays, month"
XGBoost_13_features_reduced_by_0_percent0,13,0,"nr.employed, pdays, job, euribor3m, cons.conf.idx, previous, age, poutcome, emp.var.rate, cons.price.idx, month, loan, day_of_week"
XGBoost_13_features_reduced_by_20_percent0,13,20,"nr.employed, pdays, job, euribor3m, cons.conf.idx, previous, age, poutcome, emp.var.rate, cons.price.idx, month, loan, day_of_week"
XGBoost_13_features_reduced_by_40_percent0,13,40,"nr.employed, pdays, job, euribor3m, cons.conf.idx, previous, age, poutcome, emp.var.rate, cons.price.idx, month, loan, day_of_week"
XGBoost_13_features_reduced_by_60_percent0,13,60,"nr.employed, pdays, job, euribor3m, cons.conf.idx, previous, age, poutcome, emp.var.rate, cons.price.idx, month, loan, day_of_week"
XGBoost_13_features_reduced_by_80_percent0,13,80,"nr.employed, pdays, job, euribor3m, cons.conf.idx, previous, age, poutcome, emp.var.rate, cons.price.idx, month, loan, day_of_week"
XGBoost_12_features_reduced_by_0_percent0,12,0,"pdays, contact, nr.employed, education, marital, previous, poutcome, default, loan, job, day_of_week, month"
XGBoost_12_features_reduced_by_20_percent0,12,20,"pdays, contact, nr.employed, education, marital, previous, poutcome, default, loan, job, day_of_week, month"
XGBoost_12_features_reduced_by_40_percent0,12,40,"pdays, contact, nr.employed, education, marital, previous, poutcome, default, loan, job, day_of_week, month"
XGBoost_12_features_reduced_by_60_percent0,12,60,"pdays, contact, nr.employed, education, marital, previous, poutcome, default, loan, job, day_of_week, month"
XGBoost_12_features_reduced_by_80_percent0,12,80,"pdays, contact, nr.employed, education, marital, previous, poutcome, default, loan, job, day_of_week, month"
XGBoost_11_features_reduced_by_0_percent0,11,0,"emp.var.rate, pdays, age, day_of_week, previous, contact, job, poutcome, euribor3m, loan, housing"
XGBoost_11_features_reduced_by_20_percent0,11,20,"emp.var.rate, pdays, age, day_of_week, previous, contact, job, poutcome, euribor3m, loan, housing"
XGBoost_11_features_reduced_by_40_percent0,11,40,"emp.var.rate, pdays, age, day_of_week, previous, contact, job, poutcome, euribor3m, loan, housing"
XGBoost_11_features_reduced_by_60_percent0,11,60,"emp.var.rate, pdays, age, day_of_week, previous, contact, job, poutcome, euribor3m, loan, housing"
XGBoost_11_features_reduced_by_80_percent0,11,80,"emp.var.rate, pdays, age, day_of_week, previous, contact, job, poutcome, euribor3m, loan, housing"
XGBoost_10_features_reduced_by_0_percent0,10,0,"cons.price.idx, age, cons.conf.idx, education, marital, poutcome, pdays, housing, job, month"
XGBoost_10_features_reduced_by_20_percent0,10,20,"cons.price.idx, age, cons.conf.idx, education, marital, poutcome, pdays, housing, job, month"
XGBoost_10_features_reduced_by_40_percent0,10,40,"cons.price.idx, age, cons.conf.idx, education, marital, poutcome, pdays, housing, job, month"
XGBoost_10_features_reduced_by_60_percent0,10,60,"cons.price.idx, age, cons.conf.idx, education, marital, poutcome, pdays, housing, job, month"
XGBoost_10_features_reduced_by_80_percent0,10,80,"cons.price.idx, age, cons.conf.idx, education, marital, poutcome, pdays, housing, job, month"
XGBoost_9_features_reduced_by_0_percent0,9,0,"previous, job, emp.var.rate, housing, cons.conf.idx, nr.employed, euribor3m, pdays, loan"
XGBoost_9_features_reduced_by_20_percent0,9,20,"previous, job, emp.var.rate, housing, cons.conf.idx, nr.employed, euribor3m, pdays, loan"
XGBoost_9_features_reduced_by_40_percent0,9,40,"previous, job, emp.var.rate, housing, cons.conf.idx, nr.employed, euribor3m, pdays, loan"
XGBoost_9_features_reduced_by_60_percent0,9,60,"previous, job, emp.var.rate, housing, cons.conf.idx, nr.employed, euribor3m, pdays, loan"
XGBoost_9_features_reduced_by_80_percent0,9,80,"previous, job, emp.var.rate, housing, cons.conf.idx, nr.employed, euribor3m, pdays, loan"
XGBoost_8_features_reduced_by_0_percent0,8,0,"default, cons.price.idx, previous, job, education, poutcome, housing, cons.conf.idx"
XGBoost_8_features_reduced_by_20_percent0,8,20,"default, cons.price.idx, previous, job, education, poutcome, housing, cons.conf.idx"
XGBoost_8_features_reduced_by_40_percent0,8,40,"default, cons.price.idx, previous, job, education, poutcome, housing, cons.conf.idx"
XGBoost_8_features_reduced_by_60_percent0,8,60,"default, cons.price.idx, previous, job, education, poutcome, housing, cons.conf.idx"
XGBoost_8_features_reduced_by_80_percent0,8,80,"default, cons.price.idx, previous, job, education, poutcome, housing, cons.conf.idx"
XGBoost_7_features_reduced_by_0_percent0,7,0,"contact, job, age, cons.price.idx, nr.employed, month, marital"
XGBoost_7_features_reduced_by_20_percent0,7,20,"contact, job, age, cons.price.idx, nr.employed, month, marital"
XGBoost_7_features_reduced_by_40_percent0,7,40,"contact, job, age, cons.price.idx, nr.employed, month, marital"
XGBoost_7_features_reduced_by_60_percent0,7,60,"contact, job, age, cons.price.idx, nr.employed, month, marital"
