project_name,num_features,reduction_percentage,feature_names
KNeighborsClassifier_17_features_reduced_by_0_percent0,17,0,"NoDocbcCost, PhysActivity, BMI, HighChol, DiffWalk, HvyAlcoholConsump, CholCheck, Education, Stroke, HeartDiseaseorAttack, Age, Veggies, GenHlth, AnyHealthcare, Income, Fruits, HighBP"
KNeighborsClassifier_17_features_reduced_by_20_percent0,17,20,"NoDocbcCost, PhysActivity, BMI, HighChol, DiffWalk, HvyAlcoholConsump, CholCheck, Education, Stroke, HeartDiseaseorAttack, Age, Veggies, GenHlth, AnyHealthcare, Income, Fruits, HighBP"
KNeighborsClassifier_17_features_reduced_by_40_percent0,17,40,"NoDocbcCost, PhysActivity, BMI, HighChol, DiffWalk, HvyAlcoholConsump, CholCheck, Education, Stroke, HeartDiseaseorAttack, Age, Veggies, GenHlth, AnyHealthcare, Income, Fruits, HighBP"
KNeighborsClassifier_17_features_reduced_by_60_percent0,17,60,"NoDocbcCost, PhysActivity, BMI, HighChol, DiffWalk, HvyAlcoholConsump, CholCheck, Education, Stroke, HeartDiseaseorAttack, Age, Veggies, GenHlth, AnyHealthcare, Income, Fruits, HighBP"
KNeighborsClassifier_17_features_reduced_by_80_percent0,17,80,"NoDocbcCost, PhysActivity, BMI, HighChol, DiffWalk, HvyAlcoholConsump, CholCheck, Education, Stroke, HeartDiseaseorAttack, Age, Veggies, GenHlth, AnyHealthcare, Income, Fruits, HighBP"
KNeighborsClassifier_16_features_reduced_by_0_percent0,16,0,"Stroke, HvyAlcoholConsump, CholCheck, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Fruits, AnyHealthcare, Sex, Smoker, Age, Veggies, MentHlth, PhysHlth, HighChol, Education"
KNeighborsClassifier_16_features_reduced_by_20_percent0,16,20,"Stroke, HvyAlcoholConsump, CholCheck, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Fruits, AnyHealthcare, Sex, Smoker, Age, Veggies, MentHlth, PhysHlth, HighChol, Education"
KNeighborsClassifier_16_features_reduced_by_40_percent0,16,40,"Stroke, HvyAlcoholConsump, CholCheck, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Fruits, AnyHealthcare, Sex, Smoker, Age, Veggies, MentHlth, PhysHlth, HighChol, Education"
KNeighborsClassifier_16_features_reduced_by_60_percent0,16,60,"Stroke, HvyAlcoholConsump, CholCheck, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Fruits, AnyHealthcare, Sex, Smoker, Age, Veggies, MentHlth, PhysHlth, HighChol, Education"
KNeighborsClassifier_16_features_reduced_by_80_percent0,16,80,"Stroke, HvyAlcoholConsump, CholCheck, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Fruits, AnyHealthcare, Sex, Smoker, Age, Veggies, MentHlth, PhysHlth, HighChol, Education"
KNeighborsClassifier_15_features_reduced_by_0_percent0,15,0,"PhysHlth, CholCheck, MentHlth, PhysActivity, HeartDiseaseorAttack, Income, Education, NoDocbcCost, Smoker, AnyHealthcare, Fruits, Sex, Veggies, HighBP, DiffWalk"
KNeighborsClassifier_15_features_reduced_by_20_percent0,15,20,"PhysHlth, CholCheck, MentHlth, PhysActivity, HeartDiseaseorAttack, Income, Education, NoDocbcCost, Smoker, AnyHealthcare, Fruits, Sex, Veggies, HighBP, DiffWalk"
KNeighborsClassifier_15_features_reduced_by_40_percent0,15,40,"PhysHlth, CholCheck, MentHlth, PhysActivity, HeartDiseaseorAttack, Income, Education, NoDocbcCost, Smoker, AnyHealthcare, Fruits, Sex, Veggies, HighBP, DiffWalk"
KNeighborsClassifier_15_features_reduced_by_60_percent0,15,60,"PhysHlth, CholCheck, MentHlth, PhysActivity, HeartDiseaseorAttack, Income, Education, NoDocbcCost, Smoker, AnyHealthcare, Fruits, Sex, Veggies, HighBP, DiffWalk"
KNeighborsClassifier_15_features_reduced_by_80_percent0,15,80,"PhysHlth, CholCheck, MentHlth, PhysActivity, HeartDiseaseorAttack, Income, Education, NoDocbcCost, Smoker, AnyHealthcare, Fruits, Sex, Veggies, HighBP, DiffWalk"
KNeighborsClassifier_14_features_reduced_by_0_percent0,14,0,"GenHlth, Fruits, CholCheck, Sex, NoDocbcCost, PhysActivity, HvyAlcoholConsump, AnyHealthcare, HeartDiseaseorAttack, Education, Smoker, Veggies, PhysHlth, HighBP"
KNeighborsClassifier_14_features_reduced_by_20_percent0,14,20,"GenHlth, Fruits, CholCheck, Sex, NoDocbcCost, PhysActivity, HvyAlcoholConsump, AnyHealthcare, HeartDiseaseorAttack, Education, Smoker, Veggies, PhysHlth, HighBP"
KNeighborsClassifier_14_features_reduced_by_40_percent0,14,40,"GenHlth, Fruits, CholCheck, Sex, NoDocbcCost, PhysActivity, HvyAlcoholConsump, AnyHealthcare, HeartDiseaseorAttack, Education, Smoker, Veggies, PhysHlth, HighBP"
KNeighborsClassifier_14_features_reduced_by_60_percent0,14,60,"GenHlth, Fruits, CholCheck, Sex, NoDocbcCost, PhysActivity, HvyAlcoholConsump, AnyHealthcare, HeartDiseaseorAttack, Education, Smoker, Veggies, PhysHlth, HighBP"
KNeighborsClassifier_14_features_reduced_by_80_percent0,14,80,"GenHlth, Fruits, CholCheck, Sex, NoDocbcCost, PhysActivity, HvyAlcoholConsump, AnyHealthcare, HeartDiseaseorAttack, Education, Smoker, Veggies, PhysHlth, HighBP"
KNeighborsClassifier_13_features_reduced_by_0_percent0,13,0,"PhysHlth, CholCheck, HvyAlcoholConsump, DiffWalk, PhysActivity, Fruits, Age, MentHlth, Income, Sex, Stroke, HeartDiseaseorAttack, Veggies"
KNeighborsClassifier_13_features_reduced_by_20_percent0,13,20,"PhysHlth, CholCheck, HvyAlcoholConsump, DiffWalk, PhysActivity, Fruits, Age, MentHlth, Income, Sex, Stroke, HeartDiseaseorAttack, Veggies"
KNeighborsClassifier_13_features_reduced_by_40_percent0,13,40,"PhysHlth, CholCheck, HvyAlcoholConsump, DiffWalk, PhysActivity, Fruits, Age, MentHlth, Income, Sex, Stroke, HeartDiseaseorAttack, Veggies"
KNeighborsClassifier_13_features_reduced_by_60_percent0,13,60,"PhysHlth, CholCheck, HvyAlcoholConsump, DiffWalk, PhysActivity, Fruits, Age, MentHlth, Income, Sex, Stroke, HeartDiseaseorAttack, Veggies"
KNeighborsClassifier_13_features_reduced_by_80_percent0,13,80,"PhysHlth, CholCheck, HvyAlcoholConsump, DiffWalk, PhysActivity, Fruits, Age, MentHlth, Income, Sex, Stroke, HeartDiseaseorAttack, Veggies"
KNeighborsClassifier_12_features_reduced_by_0_percent0,12,0,"Income, Age, Education, MentHlth, Smoker, CholCheck, GenHlth, NoDocbcCost, Fruits, BMI, HvyAlcoholConsump, HighChol"
KNeighborsClassifier_12_features_reduced_by_20_percent0,12,20,"Income, Age, Education, MentHlth, Smoker, CholCheck, GenHlth, NoDocbcCost, Fruits, BMI, HvyAlcoholConsump, HighChol"
KNeighborsClassifier_12_features_reduced_by_40_percent0,12,40,"Income, Age, Education, MentHlth, Smoker, CholCheck, GenHlth, NoDocbcCost, Fruits, BMI, HvyAlcoholConsump, HighChol"
KNeighborsClassifier_12_features_reduced_by_60_percent0,12,60,"Income, Age, Education, MentHlth, Smoker, CholCheck, GenHlth, NoDocbcCost, Fruits, BMI, HvyAlcoholConsump, HighChol"
KNeighborsClassifier_12_features_reduced_by_80_percent0,12,80,"Income, Age, Education, MentHlth, Smoker, CholCheck, GenHlth, NoDocbcCost, Fruits, BMI, HvyAlcoholConsump, HighChol"
KNeighborsClassifier_11_features_reduced_by_0_percent0,11,0,"Fruits, AnyHealthcare, Income, DiffWalk, MentHlth, Veggies, CholCheck, HvyAlcoholConsump, HighChol, Age, BMI"
KNeighborsClassifier_11_features_reduced_by_20_percent0,11,20,"Fruits, AnyHealthcare, Income, DiffWalk, MentHlth, Veggies, CholCheck, HvyAlcoholConsump, HighChol, Age, BMI"
KNeighborsClassifier_11_features_reduced_by_40_percent0,11,40,"Fruits, AnyHealthcare, Income, DiffWalk, MentHlth, Veggies, CholCheck, HvyAlcoholConsump, HighChol, Age, BMI"
KNeighborsClassifier_11_features_reduced_by_60_percent0,11,60,"Fruits, AnyHealthcare, Income, DiffWalk, MentHlth, Veggies, CholCheck, HvyAlcoholConsump, HighChol, Age, BMI"
KNeighborsClassifier_11_features_reduced_by_80_percent0,11,80,"Fruits, AnyHealthcare, Income, DiffWalk, MentHlth, Veggies, CholCheck, HvyAlcoholConsump, HighChol, Age, BMI"
KNeighborsClassifier_10_features_reduced_by_0_percent0,10,0,"GenHlth, NoDocbcCost, Fruits, Education, Smoker, DiffWalk, HvyAlcoholConsump, HeartDiseaseorAttack, MentHlth, HighBP"
KNeighborsClassifier_10_features_reduced_by_20_percent0,10,20,"GenHlth, NoDocbcCost, Fruits, Education, Smoker, DiffWalk, HvyAlcoholConsump, HeartDiseaseorAttack, MentHlth, HighBP"
KNeighborsClassifier_10_features_reduced_by_40_percent0,10,40,"GenHlth, NoDocbcCost, Fruits, Education, Smoker, DiffWalk, HvyAlcoholConsump, HeartDiseaseorAttack, MentHlth, HighBP"
KNeighborsClassifier_10_features_reduced_by_60_percent0,10,60,"GenHlth, NoDocbcCost, Fruits, Education, Smoker, DiffWalk, HvyAlcoholConsump, HeartDiseaseorAttack, MentHlth, HighBP"
KNeighborsClassifier_10_features_reduced_by_80_percent0,10,80,"GenHlth, NoDocbcCost, Fruits, Education, Smoker, DiffWalk, HvyAlcoholConsump, HeartDiseaseorAttack, MentHlth, HighBP"
KNeighborsClassifier_9_features_reduced_by_0_percent0,9,0,"HighBP, GenHlth, Income, HvyAlcoholConsump, Fruits, Sex, Age, Veggies, Stroke"
KNeighborsClassifier_9_features_reduced_by_20_percent0,9,20,"HighBP, GenHlth, Income, HvyAlcoholConsump, Fruits, Sex, Age, Veggies, Stroke"
KNeighborsClassifier_9_features_reduced_by_40_percent0,9,40,"HighBP, GenHlth, Income, HvyAlcoholConsump, Fruits, Sex, Age, Veggies, Stroke"
KNeighborsClassifier_9_features_reduced_by_60_percent0,9,60,"HighBP, GenHlth, Income, HvyAlcoholConsump, Fruits, Sex, Age, Veggies, Stroke"
KNeighborsClassifier_9_features_reduced_by_80_percent0,9,80,"HighBP, GenHlth, Income, HvyAlcoholConsump, Fruits, Sex, Age, Veggies, Stroke"
KNeighborsClassifier_8_features_reduced_by_0_percent0,8,0,"Fruits, Veggies, PhysActivity, AnyHealthcare, Smoker, HighChol, DiffWalk, Education"
KNeighborsClassifier_8_features_reduced_by_20_percent0,8,20,"Fruits, Veggies, PhysActivity, AnyHealthcare, Smoker, HighChol, DiffWalk, Education"
KNeighborsClassifier_8_features_reduced_by_40_percent0,8,40,"Fruits, Veggies, PhysActivity, AnyHealthcare, Smoker, HighChol, DiffWalk, Education"
KNeighborsClassifier_8_features_reduced_by_60_percent0,8,60,"Fruits, Veggies, PhysActivity, AnyHealthcare, Smoker, HighChol, DiffWalk, Education"
KNeighborsClassifier_8_features_reduced_by_80_percent0,8,80,"Fruits, Veggies, PhysActivity, AnyHealthcare, Smoker, HighChol, DiffWalk, Education"
KNeighborsClassifier_7_features_reduced_by_0_percent0,7,0,"HighBP, HvyAlcoholConsump, HighChol, PhysHlth, Stroke, GenHlth, Veggies"
KNeighborsClassifier_7_features_reduced_by_20_percent0,7,20,"HighBP, HvyAlcoholConsump, HighChol, PhysHlth, Stroke, GenHlth, Veggies"
KNeighborsClassifier_7_features_reduced_by_40_percent0,7,40,"HighBP, HvyAlcoholConsump, HighChol, PhysHlth, Stroke, GenHlth, Veggies"
KNeighborsClassifier_7_features_reduced_by_60_percent0,7,60,"HighBP, HvyAlcoholConsump, HighChol, PhysHlth, Stroke, GenHlth, Veggies"
KNeighborsClassifier_7_features_reduced_by_80_percent0,7,80,"HighBP, HvyAlcoholConsump, HighChol, PhysHlth, Stroke, GenHlth, Veggies"
KNeighborsClassifier_6_features_reduced_by_0_percent0,6,0,"Stroke, AnyHealthcare, MentHlth, PhysActivity, Smoker, NoDocbcCost"
