project_name,num_features,reduction_percentage,feature_names
GaussianNB_13_features_reduced_by_60_percent0,13,60,"pdays, age, nr.employed, cons.price.idx, cons.conf.idx, emp.var.rate, default, euribor3m, day_of_week, month, housing, job, previous"
GaussianNB_13_features_reduced_by_80_percent0,13,80,"pdays, age, nr.employed, cons.price.idx, cons.conf.idx, emp.var.rate, default, euribor3m, day_of_week, month, housing, job, previous"
GaussianNB_12_features_reduced_by_0_percent0,12,0,"default, marital, job, pdays, y, previous, loan, cons.conf.idx, month, contact, housing, day_of_week"
GaussianNB_12_features_reduced_by_20_percent0,12,20,"default, marital, job, pdays, y, previous, loan, cons.conf.idx, month, contact, housing, day_of_week"
GaussianNB_12_features_reduced_by_40_percent0,12,40,"default, marital, job, pdays, y, previous, loan, cons.conf.idx, month, contact, housing, day_of_week"
GaussianNB_12_features_reduced_by_60_percent0,12,60,"default, marital, job, pdays, y, previous, loan, cons.conf.idx, month, contact, housing, day_of_week"
GaussianNB_12_features_reduced_by_80_percent0,12,80,"default, marital, job, pdays, y, previous, loan, cons.conf.idx, month, contact, housing, day_of_week"
GaussianNB_11_features_reduced_by_0_percent0,11,0,"nr.employed, cons.price.idx, emp.var.rate, day_of_week, job, education, poutcome, cons.conf.idx, default, marital, y"
GaussianNB_11_features_reduced_by_20_percent0,11,20,"nr.employed, cons.price.idx, emp.var.rate, day_of_week, job, education, poutcome, cons.conf.idx, default, marital, y"
GaussianNB_11_features_reduced_by_40_percent0,11,40,"nr.employed, cons.price.idx, emp.var.rate, day_of_week, job, education, poutcome, cons.conf.idx, default, marital, y"
GaussianNB_11_features_reduced_by_60_percent0,11,60,"nr.employed, cons.price.idx, emp.var.rate, day_of_week, job, education, poutcome, cons.conf.idx, default, marital, y"
GaussianNB_11_features_reduced_by_80_percent0,11,80,"nr.employed, cons.price.idx, emp.var.rate, day_of_week, job, education, poutcome, cons.conf.idx, default, marital, y"
GaussianNB_10_features_reduced_by_0_percent0,10,0,"previous, pdays, loan, day_of_week, cons.price.idx, housing, emp.var.rate, age, euribor3m, month"
