project_name,num_features,reduction_percentage,feature_names
XGBoost_17_features_reduced_by_20_percent0,17,20,"CholCheck, NoDocbcCost, PhysHlth, Smoker, BMI, Age, DiffWalk, Education, GenHlth, HeartDiseaseorAttack, Veggies, Fruits, HighChol, Stroke, HvyAlcoholConsump, MentHlth, AnyHealthcare"
XGBoost_17_features_reduced_by_40_percent0,17,40,"CholCheck, NoDocbcCost, PhysHlth, Smoker, BMI, Age, DiffWalk, Education, GenHlth, HeartDiseaseorAttack, Veggies, Fruits, HighChol, Stroke, HvyAlcoholConsump, MentHlth, AnyHealthcare"
XGBoost_17_features_reduced_by_60_percent0,17,60,"CholCheck, NoDocbcCost, PhysHlth, Smoker, BMI, Age, DiffWalk, Education, GenHlth, HeartDiseaseorAttack, Veggies, Fruits, HighChol, Stroke, HvyAlcoholConsump, MentHlth, AnyHealthcare"
XGBoost_17_features_reduced_by_80_percent0,17,80,"CholCheck, NoDocbcCost, PhysHlth, Smoker, BMI, Age, DiffWalk, Education, GenHlth, HeartDiseaseorAttack, Veggies, Fruits, HighChol, Stroke, HvyAlcoholConsump, MentHlth, AnyHealthcare"
XGBoost_16_features_reduced_by_0_percent0,16,0,"Income, BMI, GenHlth, HighChol, HeartDiseaseorAttack, PhysHlth, Smoker, Fruits, NoDocbcCost, HighBP, Veggies, MentHlth, HvyAlcoholConsump, Age, CholCheck, PhysActivity"
XGBoost_16_features_reduced_by_20_percent0,16,20,"Income, BMI, GenHlth, HighChol, HeartDiseaseorAttack, PhysHlth, Smoker, Fruits, NoDocbcCost, HighBP, Veggies, MentHlth, HvyAlcoholConsump, Age, CholCheck, PhysActivity"
XGBoost_16_features_reduced_by_40_percent0,16,40,"Income, BMI, GenHlth, HighChol, HeartDiseaseorAttack, PhysHlth, Smoker, Fruits, NoDocbcCost, HighBP, Veggies, MentHlth, HvyAlcoholConsump, Age, CholCheck, PhysActivity"
XGBoost_16_features_reduced_by_60_percent0,16,60,"Income, BMI, GenHlth, HighChol, HeartDiseaseorAttack, PhysHlth, Smoker, Fruits, NoDocbcCost, HighBP, Veggies, MentHlth, HvyAlcoholConsump, Age, CholCheck, PhysActivity"
XGBoost_16_features_reduced_by_80_percent0,16,80,"Income, BMI, GenHlth, HighChol, HeartDiseaseorAttack, PhysHlth, Smoker, Fruits, NoDocbcCost, HighBP, Veggies, MentHlth, HvyAlcoholConsump, Age, CholCheck, PhysActivity"
XGBoost_15_features_reduced_by_0_percent0,15,0,"Stroke, PhysHlth, HighChol, Fruits, Age, HeartDiseaseorAttack, BMI, AnyHealthcare, Education, DiffWalk, Veggies, HvyAlcoholConsump, CholCheck, NoDocbcCost, HighBP"
XGBoost_15_features_reduced_by_20_percent0,15,20,"Stroke, PhysHlth, HighChol, Fruits, Age, HeartDiseaseorAttack, BMI, AnyHealthcare, Education, DiffWalk, Veggies, HvyAlcoholConsump, CholCheck, NoDocbcCost, HighBP"
XGBoost_15_features_reduced_by_40_percent0,15,40,"Stroke, PhysHlth, HighChol, Fruits, Age, HeartDiseaseorAttack, BMI, AnyHealthcare, Education, DiffWalk, Veggies, HvyAlcoholConsump, CholCheck, NoDocbcCost, HighBP"
XGBoost_15_features_reduced_by_60_percent0,15,60,"Stroke, PhysHlth, HighChol, Fruits, Age, HeartDiseaseorAttack, BMI, AnyHealthcare, Education, DiffWalk, Veggies, HvyAlcoholConsump, CholCheck, NoDocbcCost, HighBP"
XGBoost_15_features_reduced_by_80_percent0,15,80,"Stroke, PhysHlth, HighChol, Fruits, Age, HeartDiseaseorAttack, BMI, AnyHealthcare, Education, DiffWalk, Veggies, HvyAlcoholConsump, CholCheck, NoDocbcCost, HighBP"
XGBoost_14_features_reduced_by_0_percent0,14,0,"Age, Stroke, HighBP, Veggies, CholCheck, Income, DiffWalk, MentHlth, HvyAlcoholConsump, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Education, PhysHlth"
XGBoost_14_features_reduced_by_20_percent0,14,20,"Age, Stroke, HighBP, Veggies, CholCheck, Income, DiffWalk, MentHlth, HvyAlcoholConsump, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Education, PhysHlth"
XGBoost_14_features_reduced_by_40_percent0,14,40,"Age, Stroke, HighBP, Veggies, CholCheck, Income, DiffWalk, MentHlth, HvyAlcoholConsump, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Education, PhysHlth"
XGBoost_14_features_reduced_by_60_percent0,14,60,"Age, Stroke, HighBP, Veggies, CholCheck, Income, DiffWalk, MentHlth, HvyAlcoholConsump, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Education, PhysHlth"
XGBoost_14_features_reduced_by_80_percent0,14,80,"Age, Stroke, HighBP, Veggies, CholCheck, Income, DiffWalk, MentHlth, HvyAlcoholConsump, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Education, PhysHlth"
XGBoost_13_features_reduced_by_0_percent0,13,0,"NoDocbcCost, PhysHlth, Education, AnyHealthcare, Stroke, Smoker, Veggies, Income, GenHlth, MentHlth, PhysActivity, BMI, Fruits"
XGBoost_13_features_reduced_by_20_percent0,13,20,"NoDocbcCost, PhysHlth, Education, AnyHealthcare, Stroke, Smoker, Veggies, Income, GenHlth, MentHlth, PhysActivity, BMI, Fruits"
XGBoost_13_features_reduced_by_40_percent0,13,40,"NoDocbcCost, PhysHlth, Education, AnyHealthcare, Stroke, Smoker, Veggies, Income, GenHlth, MentHlth, PhysActivity, BMI, Fruits"
XGBoost_13_features_reduced_by_60_percent0,13,60,"NoDocbcCost, PhysHlth, Education, AnyHealthcare, Stroke, Smoker, Veggies, Income, GenHlth, MentHlth, PhysActivity, BMI, Fruits"
XGBoost_13_features_reduced_by_80_percent0,13,80,"NoDocbcCost, PhysHlth, Education, AnyHealthcare, Stroke, Smoker, Veggies, Income, GenHlth, MentHlth, PhysActivity, BMI, Fruits"
XGBoost_12_features_reduced_by_0_percent0,12,0,"Fruits, DiffWalk, AnyHealthcare, HvyAlcoholConsump, Sex, Age, Income, Education, HighBP, HighChol, MentHlth, CholCheck"
XGBoost_12_features_reduced_by_20_percent0,12,20,"Fruits, DiffWalk, AnyHealthcare, HvyAlcoholConsump, Sex, Age, Income, Education, HighBP, HighChol, MentHlth, CholCheck"
XGBoost_12_features_reduced_by_40_percent0,12,40,"Fruits, DiffWalk, AnyHealthcare, HvyAlcoholConsump, Sex, Age, Income, Education, HighBP, HighChol, MentHlth, CholCheck"
XGBoost_12_features_reduced_by_60_percent0,12,60,"Fruits, DiffWalk, AnyHealthcare, HvyAlcoholConsump, Sex, Age, Income, Education, HighBP, HighChol, MentHlth, CholCheck"
XGBoost_12_features_reduced_by_80_percent0,12,80,"Fruits, DiffWalk, AnyHealthcare, HvyAlcoholConsump, Sex, Age, Income, Education, HighBP, HighChol, MentHlth, CholCheck"
XGBoost_11_features_reduced_by_0_percent0,11,0,"Smoker, Education, Income, CholCheck, Age, HighChol, DiffWalk, Veggies, HighBP, PhysHlth, PhysActivity"
XGBoost_11_features_reduced_by_20_percent0,11,20,"Smoker, Education, Income, CholCheck, Age, HighChol, DiffWalk, Veggies, HighBP, PhysHlth, PhysActivity"
XGBoost_11_features_reduced_by_40_percent0,11,40,"Smoker, Education, Income, CholCheck, Age, HighChol, DiffWalk, Veggies, HighBP, PhysHlth, PhysActivity"
XGBoost_11_features_reduced_by_60_percent0,11,60,"Smoker, Education, Income, CholCheck, Age, HighChol, DiffWalk, Veggies, HighBP, PhysHlth, PhysActivity"
XGBoost_11_features_reduced_by_80_percent0,11,80,"Smoker, Education, Income, CholCheck, Age, HighChol, DiffWalk, Veggies, HighBP, PhysHlth, PhysActivity"
XGBoost_10_features_reduced_by_0_percent0,10,0,"HighBP, Education, PhysHlth, MentHlth, Fruits, PhysActivity, CholCheck, DiffWalk, Smoker, Veggies"
XGBoost_10_features_reduced_by_20_percent0,10,20,"HighBP, Education, PhysHlth, MentHlth, Fruits, PhysActivity, CholCheck, DiffWalk, Smoker, Veggies"
XGBoost_10_features_reduced_by_40_percent0,10,40,"HighBP, Education, PhysHlth, MentHlth, Fruits, PhysActivity, CholCheck, DiffWalk, Smoker, Veggies"
XGBoost_10_features_reduced_by_60_percent0,10,60,"HighBP, Education, PhysHlth, MentHlth, Fruits, PhysActivity, CholCheck, DiffWalk, Smoker, Veggies"
XGBoost_10_features_reduced_by_80_percent0,10,80,"HighBP, Education, PhysHlth, MentHlth, Fruits, PhysActivity, CholCheck, DiffWalk, Smoker, Veggies"
XGBoost_9_features_reduced_by_0_percent0,9,0,"AnyHealthcare, Age, NoDocbcCost, HighBP, HighChol, Education, PhysActivity, Fruits, CholCheck"
XGBoost_9_features_reduced_by_20_percent0,9,20,"AnyHealthcare, Age, NoDocbcCost, HighBP, HighChol, Education, PhysActivity, Fruits, CholCheck"
XGBoost_9_features_reduced_by_40_percent0,9,40,"AnyHealthcare, Age, NoDocbcCost, HighBP, HighChol, Education, PhysActivity, Fruits, CholCheck"
XGBoost_9_features_reduced_by_60_percent0,9,60,"AnyHealthcare, Age, NoDocbcCost, HighBP, HighChol, Education, PhysActivity, Fruits, CholCheck"
XGBoost_9_features_reduced_by_80_percent0,9,80,"AnyHealthcare, Age, NoDocbcCost, HighBP, HighChol, Education, PhysActivity, Fruits, CholCheck"
XGBoost_8_features_reduced_by_0_percent0,8,0,"Smoker, PhysActivity, AnyHealthcare, HighChol, PhysHlth, HeartDiseaseorAttack, CholCheck, Sex"
XGBoost_8_features_reduced_by_20_percent0,8,20,"Smoker, PhysActivity, AnyHealthcare, HighChol, PhysHlth, HeartDiseaseorAttack, CholCheck, Sex"
XGBoost_8_features_reduced_by_40_percent0,8,40,"Smoker, PhysActivity, AnyHealthcare, HighChol, PhysHlth, HeartDiseaseorAttack, CholCheck, Sex"
XGBoost_8_features_reduced_by_60_percent0,8,60,"Smoker, PhysActivity, AnyHealthcare, HighChol, PhysHlth, HeartDiseaseorAttack, CholCheck, Sex"
XGBoost_8_features_reduced_by_80_percent0,8,80,"Smoker, PhysActivity, AnyHealthcare, HighChol, PhysHlth, HeartDiseaseorAttack, CholCheck, Sex"
XGBoost_7_features_reduced_by_0_percent0,7,0,"PhysActivity, Sex, DiffWalk, AnyHealthcare, NoDocbcCost, BMI, HighBP"
XGBoost_7_features_reduced_by_20_percent0,7,20,"PhysActivity, Sex, DiffWalk, AnyHealthcare, NoDocbcCost, BMI, HighBP"
XGBoost_7_features_reduced_by_40_percent0,7,40,"PhysActivity, Sex, DiffWalk, AnyHealthcare, NoDocbcCost, BMI, HighBP"
XGBoost_7_features_reduced_by_60_percent0,7,60,"PhysActivity, Sex, DiffWalk, AnyHealthcare, NoDocbcCost, BMI, HighBP"
XGBoost_7_features_reduced_by_80_percent0,7,80,"PhysActivity, Sex, DiffWalk, AnyHealthcare, NoDocbcCost, BMI, HighBP"
XGBoost_6_features_reduced_by_0_percent0,6,0,"Fruits, BMI, HeartDiseaseorAttack, GenHlth, HighChol, MentHlth"
